"","Entity","milk_equivalents","red_meat","poultry","eggs","seafood","Prevalence.of.obesity.among.adults..BMI....30..age.standardized.estimate........Sex..both.sexes...Age.group..18...years","Share.of.total.deaths.that.are.from.all.causes.attributed.to.high.body.mass.index..in.both.sexes.aged.age.standardized"
"61","Guatemala",111.0410959,42.90410959,56.38356164,36.95890411,7.068493151,21.2,9.240353
"62","Guinea",45.53424658,23.17808219,11.17808219,5.095890411,27.64383562,7.7,5.155575
"63","Guinea-Bissau",46.82191781,41.45205479,5.917808219,2.219178082,3.561643836,9.5,5.5132384
"64","Guyana",232.0821918,18.73972603,105.0410959,5.095890411,83.50684932,20.2,15.89694
"65","Haiti",21.47945205,22.76712329,24.4109589,1.287671233,12.4109589,22.7,6.092139
"66","Honduras",232.9863014,31.12328767,59.53424658,11.89041096,8.630136986,21.4,10.818439
"67","Hungary",522.7945205,148.3561644,69.23287671,37.28767123,17.26027397,26.4,15.548889
"68","Iceland",700.7123288,158.3835616,82.05479452,29.94520548,248.5205479,21.9,9.506923
"69","India",290.5753425,3.97260274,6.082191781,8.904109589,18.90410959,3.9,5.6864357
"70","Indonesia",18.46575342,12.30136986,19.69863014,15.26027397,122.3835616,6.9,8.444451
"71","Iran",147.2876712,22.73972603,75.39726027,20.21917808,32.1369863,25.8,15.429023
"72","Iraq",41.28767123,11.06849315,40.95890411,25.8630137,9.232876712,30.4,20.96295
"73","Ireland",642.1917808,144,70.73972603,25.01369863,64.19178082,25.3,9.052479
"74","Israel",527.0136986,81.09589041,184.630137,27.36986301,71.01369863,26.1,10.694077
"75","Italy",625.9452055,164.9863014,51.7260274,32.24657534,81.64383562,19.9,9.699745
"76","Jamaica",194.3013699,21.45205479,140,5.424657534,69.61643836,24.7,17.561546
"77","Japan",160.630137,84.19178082,50.68493151,53.80821918,124.630137,4.3,3.9208915
"78","Jordan",114.5753425,26.79452055,76.90410959,8.98630137,16.08219178,35.5,23.929129
"79","Kazakhstan",739.8082192,111.890411,50.05479452,23.61643836,12.32876712,21,15.94546
"80","Kenya",221.6438356,35.97260274,1.835616438,3.643835616,10.90410959,7.1,6.15306
"81","Kiribati",5.369863014,32.49315068,49.26027397,5.643835616,210.109589,46,16.48583
"82","Kuwait",131.1506849,56.57534247,126.7123288,50.16438356,31.45205479,37.9,21.449072
"83","Kyrgyzstan",571.0410959,70.82191781,8.493150685,11.83561644,3.123287671,16.6,12.931043
"84","Laos",7.945205479,53.39726027,29.89041096,5.178082192,69.20547945,5.3,7.454507
"85","Latvia",609.1506849,129.6712329,57.23287671,34.21917808,68.10958904,23.6,15.305613
"86","Lebanon",171.1780822,36.19178082,29.42465753,5.835616438,23.91780822,32,18.128017
"87","Lesotho",59.01369863,21.75342466,21.7260274,2.547945205,5.04109589,16.6,8.69401
"88","Liberia",3.205479452,16,29.23287671,3.315068493,16.10958904,9.9,7.1316867
"89","Lithuania",960.739726,144.0273973,77.23287671,41.12328767,90.65753425,26.3,14.414871
"90","Luxembourg",406.1643836,164.2739726,50.21917808,42.68493151,88.08219178,22.6,8.36111
"91","Madagascar",57.89041096,25.06849315,7.863013699,1.780821918,14.49315068,5.3,6.198506
"92","Malawi",9.424657534,41.5890411,14.16438356,3.095890411,26.02739726,5.8,5.4533553
"93","Malaysia",15.64383562,37.45205479,107.4246575,48.98630137,157.8630137,15.6,9.727514
"94","Maldives",65.20547945,19.15068493,36.98630137,32.16438356,247.6986301,8.6,6.616117
"95","Mali",241.5616438,49.45205479,7.753424658,1.945205479,25.5890411,8.6,4.9185796
"96","Malta",305.0136986,135.0958904,74.43835616,32.73972603,87.39726027,28.9,9.497213
"97","Mauritania",245.9452055,54.08219178,14.08219178,6.356164384,25.09589041,12.7,10.112264
"98","Mauritius",50.93150685,33.36986301,103.9178082,17.53424658,63.20547945,10.8,18.929165
"99","Mexico",326.0547945,86.84931507,89.09589041,52.90410959,39.39726027,28.9,16.597248
"100","Moldova",352.1369863,59.75342466,44.21917808,21.75342466,31.7260274,18.9,15.64574
"101","Mongolia",474.3561644,201.3424658,7.589041096,11.15068493,1.315068493,20.6,13.056545
"102","Montenegro",1068.246575,156.1643836,43.78082192,32.98630137,38.52054795,23.3,17.002163
"103","Morocco",144.0547945,33.7260274,57.42465753,18.60273973,53.34246575,26.1,17.044289
"104","Mozambique",45.31506849,15.83561644,9.835616438,5.342465753,31.39726027,7.2,4.3782516
"105","Myanmar",116.4383562,76.35616438,83.20547945,14.79452055,129.6438356,5.8,6.6046543
"106","Namibia",169.7534247,37.83561644,31.5890411,3.726027397,31.67123288,17.2,9.723974
"107","Nepal",148.2739726,31.67123288,5.452054795,5.424657534,7.753424658,4.1,4.3869915
"108","Netherlands",932.4657534,148.5753425,55.69863014,38.68493151,59.64383562,20.4,7.3433995
"109","New Zealand",301.4794521,174.6027397,95.31506849,28.54794521,67.75342466,30.8,10.3148365
"110","Nicaragua",232.630137,24.32876712,59.15068493,14.93150685,17.83561644,23.7,14.705333
"111","Niger",149.1232877,25.56164384,2.575342466,0.657534247,5.561643836,5.5,3.750633
"112","Nigeria",5.97260274,14.32876712,2.767123288,6.821917808,24.98630137,8.9,5.0585594
"113","North Korea",8.493150685,16.43835616,4.438356164,12.60273973,31.23287671,6.8,3.2781801
"114","North Macedonia",427.0958904,45.97260274,54.05479452,13.80821918,17.01369863,22.4,17.51049
"115","Norway",692.6575342,130.6027397,52.19178082,31.7260274,140.6849315,23.1,6.617129
"116","Oman",296.6027397,52.82191781,59.26027397,22.32876712,78.19178082,27,19.413614
"117","Pakistan",505.6712329,29.91780822,16.05479452,9.205479452,4.712328767,8.6,8.017792
"118","Panama",191.4520548,83.34246575,92.65753425,16.46575342,35.94520548,22.7,11.460932
"119","Paraguay",194.9041096,131.5616438,16.4109589,33.09589041,11.42465753,20.3,14.227709
"120","Peru",155.2876712,26.98630137,36.90410959,24.52054795,68.60273973,19.7,9.498911
"121","Philippines",3.287671233,63.17808219,38,11.09589041,77.09589041,6.4,9.5229
"122","Poland",488.739726,159.6986301,83.01369863,18.54794521,29.28767123,23.1,13.774544
"123","Portugal",592.9863014,170.0547945,83.78082192,23.12328767,155.7260274,20.8,8.657925
"124","Romania",654.5753425,121.1232877,53.06849315,39.31506849,16.32876712,22.5,15.613074
"125","Russia",453.2876712,113.8630137,84.87671233,43.89041096,54.98630137,23.1,15.099401
"126","Rwanda",53.75342466,16.08219178,4.082191781,1.068493151,20.98630137,5.8,5.406401
"127","Saint Kitts and Nevis",54.76712329,62.52054795,152.7945205,11.17808219,98.76712329,22.9,14.125702
"128","Saint Lucia",88.02739726,93.67123288,155.3150685,10.1369863,93.42465753,19.7,13.301866
"129","Saint Vincent and the Grenadines",81.45205479,51.15068493,198.109589,12.30136986,49.69863014,23.7,14.738117
"130","Samoa",89.7260274,87.31506849,177.4520548,6,126.9041096,47.3,19.283808
"131","Sao Tome and Principe",17.34246575,14.60273973,25.94520548,1.890410959,77.53424658,12.4,9.756522
"132","Saudi Arabia",175.4246575,24.98630137,118.7945205,17.97260274,31.04109589,35.4,21.169123
"133","Senegal",30.08219178,23.8630137,13.04109589,4.520547945,49.56164384,8.8,7.1875668
"134","Serbia",474.3013699,118.1917808,27.83561644,25.80821918,16.93150685,21.5,15.453425
"135","Sierra Leone",62.46575342,7.534246575,10.87671233,3.863013699,72.05479452,8.7,4.288756
"136","Slovakia",432.6849315,119.260274,38.08219178,35.42465753,26.57534247,20.5,15.411093
"137","Slovenia",616.4931507,141.4794521,66.87671233,27.04109589,32.76712329,20.2,12.075826
"138","Solomon Islands",15.83561644,19.94520548,12.19178082,2.98630137,82.57534247,22.5,13.120918
"139","South Africa",146.8219178,64.76712329,97.78082192,18.10958904,16.35616438,28.3,11.86663
"140","South Korea",49.89041096,147.6438356,45.75342466,28.08219178,150.6027397,4.7,5.846745
"141","Spain",493.2054795,187.1232877,83.26027397,37.61643836,116.3561644,23.8,9.628155
"142","Sri Lanka",30.65753425,3.424657534,21.31506849,11.69863014,84.49315068,5.2,10.771344
"143","Suriname",34.38356164,30.52054795,85.09589041,17.23287671,45.7260274,26.4,14.067526
"144","Sweden",833.2054795,161.4520548,45.47945205,36.98630137,89.89041096,20.6,9.208003
"145","Switzerland",851.1506849,138.3013699,43.06849315,27.39726027,46.4109589,19.5,8.30759
"146","Tajikistan",155.260274,32.93150685,12.19178082,6.684931507,1.01369863,14.2,9.305404
"147","Tanzania",107.4246575,18.84931507,5.150684932,0.95890411,18.63013699,8.4,7.0505447
"148","Thailand",40.35616438,39.53424658,35.47945205,33.8630137,79.91780822,10,8.137651
"149","Togo",17.67123288,12.93150685,19.34246575,2.602739726,32.1369863,8.4,6.113868
"150","Trinidad and Tobago",80.73972603,37.09589041,149.4246575,11.34246575,65.34246575,18.6,20.282757
"151","Tunisia",306.6849315,30.21917808,46.65753425,21.34246575,36.05479452,26.9,16.712244
"152","Turkey",481.7808219,49.8630137,56.54794521,20.35616438,13.28767123,32.1,16.868662
"153","Turkmenistan",398.0273973,152.5753425,12.38356164,19.36986301,8.054794521,18.6,20.078117
"154","Uganda",102.7671233,22.38356164,4.164383562,2.410958904,30.87671233,5.3,5.4315896
"155","Ukraine",400.4931507,65.20547945,61.97260274,39.53424658,31.97260274,24.1,15.746074
"156","United Arab Emirates",91.04109589,43.26027397,119.0958904,20.49315068,67.69863014,31.7,24.301596
"157","United Kingdom",612.739726,128.1369863,87.50684932,30.76712329,54.05479452,27.8,9.109642
"158","United States",698.2739726,185.2328767,152.5479452,42.65753425,61.26027397,36.2,12.974785
"159","Uruguay",517.2328767,130.5753425,24.98630137,32.4109589,25.28767123,27.9,9.515046
"160","Uzbekistan",597.1780822,88.57534247,5.369863014,18.05479452,6.164383562,16.6,16.65854
"161","Vanuatu",45.61643836,66.43835616,31.94520548,6.739726027,77.80821918,25.2,13.577503
"162","Venezuela",274.8493151,56.49315068,55.56164384,9.917808219,27.67123288,25.6,13.743771
"163","Vietnam",23.7260274,139.2328767,33.78082192,12.02739726,103.1780822,2.1,5.528307
"164","Yemen",31.34246575,22.54794521,23.36986301,4.273972603,8.684931507,17.1,8.272102
"165","Zambia",34.2739726,20.05479452,9.369863014,6.630136986,33.01369863,8.1,6.7954483
"166","Zimbabwe",82.05479452,28.49315068,12.82191781,4.95890411,10.21917808,15.5,6.4279056
